Date,Close,High,Low,Open,Volume,Log_Returns,Volatility,Daily_Return,SMA_3,EMA_3,RSI_14,MACD,Signal_MACD,Upper_BB,Lower_BB
2019-01-02,1281.0,1286.0,1277.6,1286.0,149,,,,,1281.0,,0.0,0.0,,
2019-01-03,1291.8,1292.0,1286.7,1286.8,10,0.008395571701638155,,0.00843091334894619,,1286.4,,0.8615384615384301,0.17230769230768603,,
2019-01-04,1282.7,1294.2,1275.3,1294.2,34,-0.007069363292567272,,-0.007044434122929211,1285.1666666666667,1284.5500000000002,,0.8007889546352089,0.2980039447731906,,
2019-01-07,1286.8,1286.8,1286.6,1286.8,2,0.003191285059066125,,0.0031963826303889054,1287.1000000000001,1285.6750000000002,,1.0711329141311126,0.452629738644775,,
2019-01-08,1283.2,1283.2,1278.2,1280.5,54,-0.00280155825262121,,-0.002797637550512877,1284.2333333333333,1284.4375,,0.9835547295294873,0.5588147368217175,,
2019-01-09,1289.3,1289.3,1279.2,1279.4,102,0.004742477304541884,,0.004753740648379079,1286.4333333333334,1286.86875,,1.3903404284369572,0.7251198751447654,,
2019-01-10,1284.7,1284.7,1284.7,1284.7,0,-0.00357420737922788,,-0.003567827503296317,1285.7333333333333,1285.7843750000002,,1.3262512702765434,0.8453461541711211,,
2019-01-11,1287.1,1291.2,1286.3,1291.2,11,0.0018663976177680209,,0.0018681404218883202,1287.0333333333333,1286.4421875,,1.452377983737506,0.966752520084398,,
2019-01-14,1289.1,1293.9,1289.1,1292.4,7,0.0015526747937269476,,0.0015538808173412022,1286.9666666666667,1287.77109375,,1.6941880528738693,1.1122396266422925,,
2019-01-15,1286.2,1292.7,1286.2,1290.1,3,-0.002252165748296231,,-0.0022496315258706545,1287.4666666666665,1286.9855468750002,,1.6329943685459511,1.2163905750230244,,
2019-01-16,1291.6,1291.6,1291.6,1291.6,2,0.00418962518335718,,0.004198413932514189,1288.9666666666665,1289.2927734375,,1.9972102071092195,1.3725545014402636,,
2019-01-17,1291.0,1292.7,1288.5,1291.6,10,-0.000464648037477623,,-0.00046454010529572987,1289.6000000000001,1290.14638671875,,2.2119410184382104,1.540431804839853,,
2019-01-18,1281.3,1281.3,1281.3,1281.3,3,-0.00754192433111198,,-0.007513555383423687,1287.9666666666667,1285.7231933593748,,1.5811809302381334,1.5485816299195094,,
2019-01-22,1282.5,1283.3,1282.5,1282.5,7,0.0009361105293941634,,0.0009365488176071857,1284.9333333333334,1284.1115966796874,51.20000000000002,1.1647030157764675,1.4718059070909013,,
2019-01-23,1283.1,1283.9,1278.7,1281.7,14,0.00046772685604793383,,0.00046783625730983935,1282.3,1283.6057983398437,51.66402535657682,0.8729929344658558,1.3520433125658924,,
2019-01-24,1279.1,1279.1,1278.5,1279.1,1,-0.003122319295625126,,-0.003117449925960525,1281.5666666666666,1281.3528991699218,38.72113676731771,0.31540819344490956,1.1447162887416957,,
2019-01-25,1297.4,1297.4,1297.4,1297.4,0,0.014205556173607758,,0.01430693456336507,1286.5333333333333,1289.376449584961,61.22137404580168,1.334788716081448,1.1827307742096462,,
2019-01-28,1302.4,1307.1,1298.4,1300.8,54,0.0038464544693208543,,0.0038538615692924605,1292.9666666666667,1295.8882247924805,61.746987951807434,2.5170978011549323,1.4496041795987034,,
2019-01-29,1308.2,1308.2,1308.2,1308.2,213607,0.0044434302788365285,,0.004453316953316966,1302.6666666666667,1302.0441123962403,68.22157434402347,3.877401525344794,1.9351636487479216,,
2019-01-30,1309.9,1323.4,1308.1,1310.4,54958,0.001298651876490931,,0.0012994954899863131,1306.8333333333333,1305.9720561981203,66.04361370716532,5.034592175062244,2.5550493540107864,1307.0549652678988,1271.7850347321014
2019-01-31,1319.7,1325.4,1316.7,1320.0,1970,0.007453639619180516,,0.007481487136422604,1312.6000000000001,1312.83602809906,75.21613832853039,6.665615137945679,3.377162510797765,1313.1111098496367,1269.5988901503633
2019-02-01,1316.9,1320.7,1315.4,1320.3,878,-0.002123948306609277,,-0.0021216943244676267,1315.5000000000002,1314.86801404953,71.34670487106038,7.644158882222428,4.230561785082698,1317.1870881749217,1268.0329118250786
2019-02-04,1314.3,1318.1,1308.3,1318.1,675,-0.001976285228212104,,-0.001974333662389083,1316.966666666667,1314.584007024765,67.89772727272734,8.116303879792667,5.007710204024692,1320.1108430662107,1268.2691569337894
2019-02-05,1314.2,1315.1,1311.0,1311.1,362,-7.608902419488104e-05,,-7.608612949849825e-05,1315.1333333333334,1314.3920035123824,70.71005917159766,8.385747352193448,5.683317633658444,1322.703780910279,1268.416219089721
2019-02-06,1309.5,1313.5,1305.0,1312.5,358,-0.0035827305160009617,,-0.0035763201947953682,1312.6666666666667,1311.9460017561912,63.37817638266074,8.126356940516871,6.171925495030129,1324.0457950797013,1269.7042049202987
2019-02-07,1309.4,1310.4,1302.2,1302.9,203,-7.636794077551891e-05,,-7.636502481855878e-05,1311.0333333333333,1310.6730008780955,63.855421686747036,7.822545570222701,6.502049510068644,1325.3562749333037,1270.4037250666966
2019-02-08,1313.7,1314.0,1307.8,1309.5,122,0.0032785664684713816,,0.003283946845883623,1310.8666666666668,1312.186500439048,76.5573770491804,7.838390843408661,6.7693177767366475,1326.9381681277184,1271.7218318722814
2019-02-11,1307.0,1313.4,1304.7,1313.4,119,-0.0051131488512405,,-0.005100098957144028,1310.0333333333335,1309.593250219524,68.42105263157895,7.227005905381475,6.860855402465613,1327.5084218054421,1273.141578194558
2019-02-12,1309.2,1312.0,1307.6,1310.0,109,0.0016818290028035123,,0.0016832440703902218,1309.9666666666667,1309.396625109762,69.16299559471372,6.8411401458972705,6.856912351151944,1328.251022894462,1274.4089771055378
2019-02-13,1310.8,1316.0,1308.1,1311.6,143,0.0012213741976339297,,0.001222120378857161,1309.0,1310.098312554881,74.12480974124811,6.588497284239793,6.8032293377695146,1328.8099243106667,1276.3100756893332
2019-02-14,1309.8,1311.8,1301.6,1305.0,858,-0.0007631840407062701,0.07282873788670946,-0.0007628928898382181,1309.9333333333332,1309.9491562774406,62.809917355371795,6.235703050357415,6.689724080287095,1329.379811187838,1277.560188812162
2019-02-15,1318.1,1318.8,1313.6,1313.6,190,0.006316851934466854,0.07116032387101236,0.0063368453198962005,1312.8999999999999,1314.0245781387202,65.18375241779485,6.550343430644716,6.66184795035862,1330.823289417412,1278.826710582588
2019-02-19,1340.1,1340.1,1320.5,1320.9,390,0.01655293230776255,0.08107427991217965,0.016690691146346914,1322.6666666666665,1327.06228906936,73.49042709867447,8.47719451570606,7.024917263428108,1335.7823085600185,1279.7476914399813
2019-02-20,1343.3,1344.0,1338.0,1342.2,581,0.0023850350427848275,0.08095819641049298,0.0023878815013804733,1333.8333333333333,1335.18114453468,74.06340057636882,10.145500129179027,7.649033836578292,1340.4278556852184,1281.1821443147817
2019-02-21,1323.5,1334.9,1320.9,1331.3,414,-0.014849530401811549,0.09305933938189395,-0.014739819846646296,1335.6333333333332,1329.3405722673401,52.39294710327454,9.7574717621942,8.070721421701474,1339.8928581969155,1285.7571418030846
2019-02-22,1329.2,1331.3,1321.0,1324.2,718,0.004297514813283363,0.09291394156797737,0.004306762372497275,1332.0,1329.2702861336702,57.472660996354776,9.796965528662895,8.415970243093758,1338.2046791751995,1292.4553208248003
2019-02-25,1325.9,1331.6,1325.6,1329.2,185,-0.0024857833597661336,0.09249932150932148,-0.002482696358712011,1326.2,1327.5851430668351,56.98795180722902,9.453013744230248,8.623378943321057,1338.4469558216474,1295.0630441783524
2019-02-26,1325.1,1325.5,1323.3,1323.3,939,-0.0006035458500827639,0.09258736344121295,-0.0006033637529226921,1326.7333333333333,1326.3425715334174,56.51135005973707,9.011991534270237,8.701101461510895,1338.780078229172,1296.9999217708278
2019-02-27,1317.7,1327.9,1316.5,1327.7,604,-0.005600135719383817,0.09449729296289194,-0.005584484189872341,1322.8999999999999,1322.0212857667088,54.7453703703704,7.973447164252775,8.555570602059271,1338.7533635542661,1297.976636445734
2019-02-28,1312.8,1323.7,1311.5,1321.1,141,-0.0037255317753255106,0.09499669401040796,-0.003718600591940624,1318.5333333333333,1317.4106428833543,51.86403508771923,6.678024114646632,8.180061304576743,1338.6850132068012,1298.3349867931984
2019-03-01,1296.4,1312.2,1288.9,1312.2,110,-0.012571068508488761,0.10179622627692037,-0.01249238269347952,1308.9666666666667,1306.9053214416772,41.62633107454019,4.278726578748319,7.399794359411059,1339.7934884029823,1294.8965115970177
2019-03-04,1284.8,1287.0,1281.9,1285.5,28,-0.008988128074895236,0.10516593942944474,-0.008947855600123567,1298.0,1295.8526607208387,39.741219963031405,1.4248185198109695,6.204799191491041,1342.498758526782,1288.981241473218
2019-03-05,1282.0,1287.0,1282.0,1287.0,114,-0.0021817057118818863,0.1030222769879189,-0.002179327521793284,1287.7333333333333,1288.9263303604193,37.49999999999998,-1.0507484040836061,4.753689672376112,1344.8540279360514,1283.3959720639486
2019-03-06,1284.9,1287.1,1282.6,1287.1,14,0.0022595358088197634,0.1031959969433285,0.002262090483619472,1283.8999999999999,1286.9131651802097,38.23796548592197,-2.7469817672022145,3.2535553844604466,1346.0523029265241,1279.267697073476
2019-03-07,1283.8,1284.6,1281.0,1281.0,11,-0.0008564644117573469,0.10322215456050605,-0.0008560977507978684,1283.5666666666666,1285.3565825901048,38.20326678765883,-4.132384182554688,1.77636747105742,1347.1707877557196,1275.5792122442804
