Rendement Quotidien,Volatilité Quotidienne,Volatilité Annuelle,Sharpe Ratio,Sortino Ratio,Ulcer Index
0.032,0.034,0.54,0.928,1.262,38.894
0.033,0.034,0.54,0.928,1.262,38.894
0.129,0.034,0.54,0.928,1.262,38.894
-0.032,0.034,0.54,0.928,1.262,38.894
0.121,0.034,0.54,0.928,1.262,38.894
0.023,0.034,0.54,0.928,1.262,38.894
0.026,0.034,0.54,0.928,1.262,38.894
-0.039,0.034,0.54,0.928,1.262,38.894
-0.069,0.034,0.54,0.928,1.262,38.894
-0.01,0.034,0.54,0.928,1.262,38.894
0.127,0.034,0.54,0.928,1.262,38.894
-0.027,0.034,0.54,0.928,1.262,38.894
-0.002,0.034,0.54,0.928,1.262,38.894
-0.036,0.034,0.54,0.928,1.262,38.894
0.026,0.034,0.54,0.928,1.262,38.894
0.013,0.034,0.54,0.928,1.262,38.894
0.008,0.034,0.54,0.928,1.262,38.894
0.077,0.034,0.54,0.928,1.262,38.894
0.015,0.034,0.54,0.928,1.262,38.894
-0.01,0.034,0.54,0.928,1.262,38.894
-0.007,0.034,0.54,0.928,1.262,38.894
-0.039,0.034,0.54,0.928,1.262,38.894
0.031,0.034,0.54,0.928,1.262,38.894
-0.001,0.034,0.54,0.928,1.262,38.894
0.021,0.034,0.54,0.928,1.262,38.894
-0.061,0.034,0.54,0.928,1.262,38.894
-0.061,0.034,0.54,0.928,1.262,38.894
0.015,0.034,0.54,0.928,1.262,38.894
-0.0,0.034,0.54,0.928,1.262,38.894
0.028,0.034,0.54,0.928,1.262,38.894
-0.011,0.034,0.54,0.928,1.262,38.894
-0.033,0.034,0.54,0.928,1.262,38.894
0.041,0.034,0.54,0.928,1.262,38.894
-0.009,0.034,0.54,0.928,1.262,38.894
0.028,0.034,0.54,0.928,1.262,38.894
0.01,0.034,0.54,0.928,1.262,38.894
0.056,0.034,0.54,0.928,1.262,38.894
0.017,0.034,0.54,0.928,1.262,38.894
0.018,0.034,0.54,0.928,1.262,38.894
0.036,0.034,0.54,0.928,1.262,38.894
-0.026,0.034,0.54,0.928,1.262,38.894
0.021,0.034,0.54,0.928,1.262,38.894
0.027,0.034,0.54,0.928,1.262,38.894
0.065,0.034,0.54,0.928,1.262,38.894
0.055,0.034,0.54,0.928,1.262,38.894
0.014,0.034,0.54,0.928,1.262,38.894
0.014,0.034,0.54,0.928,1.262,38.894
0.071,0.034,0.54,0.928,1.262,38.894
0.104,0.034,0.54,0.928,1.262,38.894
-0.141,0.034,0.54,0.928,1.262,38.894
0.11,0.034,0.54,0.928,1.262,38.894
-0.036,0.034,0.54,0.928,1.262,38.894
-0.096,0.034,0.54,0.928,1.262,38.894
-0.022,0.034,0.54,0.928,1.262,38.894
0.021,0.034,0.54,0.928,1.262,38.894
0.107,0.034,0.54,0.928,1.262,38.894
-0.062,0.034,0.54,0.928,1.262,38.894
-0.021,0.034,0.54,0.928,1.262,38.894
0.021,0.034,0.54,0.928,1.262,38.894
0.022,0.034,0.54,0.928,1.262,38.894
0.073,0.034,0.54,0.928,1.262,38.894
0.023,0.034,0.54,0.928,1.262,38.894
-0.033,0.034,0.54,0.928,1.262,38.894
-0.066,0.034,0.54,0.928,1.262,38.894
0.04,0.034,0.54,0.928,1.262,38.894
-0.036,0.034,0.54,0.928,1.262,38.894
-0.1,0.034,0.54,0.928,1.262,38.894
0.062,0.034,0.54,0.928,1.262,38.894
-0.13,0.034,0.54,0.928,1.262,38.894
0.023,0.034,0.54,0.928,1.262,38.894
0.1,0.034,0.54,0.928,1.262,38.894
-0.013,0.034,0.54,0.928,1.262,38.894
0.022,0.034,0.54,0.928,1.262,38.894
-0.016,0.034,0.54,0.928,1.262,38.894
-0.024,0.034,0.54,0.928,1.262,38.894
-0.043,0.034,0.54,0.928,1.262,38.894
-0.009,0.034,0.54,0.928,1.262,38.894
0.01,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
-0.04,0.034,0.54,0.928,1.262,38.894
0.008,0.034,0.54,0.928,1.262,38.894
-0.004,0.034,0.54,0.928,1.262,38.894
0.009,0.034,0.54,0.928,1.262,38.894
0.05,0.034,0.54,0.928,1.262,38.894
0.031,0.034,0.54,0.928,1.262,38.894
0.011,0.034,0.54,0.928,1.262,38.894
0.029,0.034,0.54,0.928,1.262,38.894
0.014,0.034,0.54,0.928,1.262,38.894
0.076,0.034,0.54,0.928,1.262,38.894
-0.028,0.034,0.54,0.928,1.262,38.894
0.04,0.034,0.54,0.928,1.262,38.894
0.002,0.034,0.54,0.928,1.262,38.894
-0.009,0.034,0.54,0.928,1.262,38.894
-0.043,0.034,0.54,0.928,1.262,38.894
0.015,0.034,0.54,0.928,1.262,38.894
-0.012,0.034,0.54,0.928,1.262,38.894
-0.043,0.034,0.54,0.928,1.262,38.894
-0.077,0.034,0.54,0.928,1.262,38.894
0.026,0.034,0.54,0.928,1.262,38.894
0.006,0.034,0.54,0.928,1.262,38.894
-0.014,0.034,0.54,0.928,1.262,38.894
0.011,0.034,0.54,0.928,1.262,38.894
0.055,0.034,0.54,0.928,1.262,38.894
-0.014,0.034,0.54,0.928,1.262,38.894
-0.058,0.034,0.54,0.928,1.262,38.894
-0.001,0.034,0.54,0.928,1.262,38.894
0.027,0.034,0.54,0.928,1.262,38.894
-0.024,0.034,0.54,0.928,1.262,38.894
-0.002,0.034,0.54,0.928,1.262,38.894
0.023,0.034,0.54,0.928,1.262,38.894
-0.018,0.034,0.54,0.928,1.262,38.894
-0.042,0.034,0.54,0.928,1.262,38.894
-0.025,0.034,0.54,0.928,1.262,38.894
0.009,0.034,0.54,0.928,1.262,38.894
0.003,0.034,0.54,0.928,1.262,38.894
0.013,0.034,0.54,0.928,1.262,38.894
0.06,0.034,0.54,0.928,1.262,38.894
0.027,0.034,0.54,0.928,1.262,38.894
-0.003,0.034,0.54,0.928,1.262,38.894
-0.002,0.034,0.54,0.928,1.262,38.894
-0.021,0.034,0.54,0.928,1.262,38.894
0.016,0.034,0.54,0.928,1.262,38.894
